Date,LVMUY,JNJ,LMT,NEE,AAPL
2020-01-02,85.06520080566406,122.6382293701172,337.6092529296875,51.08597183227539,72.40050506591797
2020-01-03,84.30730438232422,121.21834564208984,349.75689697265625,51.44991302490234,71.69662475585938
2020-01-06,84.28923797607422,121.067138671875,349.224365234375,51.706825256347656,72.26793670654297
2020-01-07,83.4952621459961,121.80644989013672,350.3993530273437,51.661869049072266,71.92804718017578
2020-01-08,84.18098449707031,121.78968048095705,347.466064453125,51.6383171081543,73.0851058959961
2020-01-09,85.26368713378906,122.15093231201172,350.762939453125,52.04294967651367,74.63752746582031
2020-01-10,84.8847427368164,121.8736572265625,349.8329772949219,52.14142990112305,74.80621337890625
2020-01-13,86.13888549804688,122.41138458251952,354.2204284667969,52.75157928466797,76.40442657470703
2020-01-14,86.34638214111328,123.10028839111328,351.7857971191406,53.03631210327149,75.37269592285156
2020-01-15,86.77948760986328,123.51201629638672,355.8520202636719,53.86056518554688,75.04971313476562
2020-01-16,87.02308654785156,124.51177215576172,359.8673095703125,54.00828552246094,75.98980712890625
2020-01-17,87.68175506591797,125.32672119140624,359.83355712890625,54.25020599365234,76.83108520507812
2020-01-21,84.86669158935547,125.41075134277344,360.24786376953125,54.99738311767578,76.31040954589844
2020-01-22,84.45166015625,124.5538330078125,358.7853088378906,55.64179229736328,76.58282470703125
2020-01-23,83.25166320800781,124.78904724121094,362.47113037109375,55.680320739746094,76.95162200927734
2020-01-24,82.27721405029297,124.61264038085938,365.6157836914063,56.4596061706543,76.72984313964844
2020-01-27,80.0035171508789,124.97390747070312,365.5143737792969,57.10615539550781,74.47356414794922
2020-01-28,80.22906494140625,125.60401916503906,369.5636596679688,56.90704345703125,76.58039093017578
2020-01-29,80.88773345947266,126.47777557373048,366.7485656738281,56.8963508605957,78.18339538574219
2020-01-30,80.16590881347656,126.32653045654295,368.4899597167969,57.78908920288086,78.0700912475586
2020-01-31,78.65914916992188,125.07466888427734,361.9131774902344,57.41873550415039,74.60858154296875
2020-02-03,79.0200424194336,126.16690826416016,358.3119506835937,57.12115478515625,74.40367126464844
2020-02-04,81.76290893554688,127.36834716796876,364.1618347167969,56.63515472412109,76.86002349853516
2020-02-05,82.35840606689453,129.37632751464844,367.8898315429688,57.099735260009766,77.48676300048828
2020-02-06,82.86367797851562,128.9898223876953,371.0852355957031,57.446556091308594,78.39311981201172
2020-02-07,81.20352172851562,127.61199188232422,371.25439453125,57.705604553222656,77.32754516601562
2020-02-10,81.69976806640625,127.58679962158205,371.7530517578125,58.176605224609375,77.69479370117188
2020-02-11,81.52832794189453,127.6959991455078,371.8291931152344,58.264381408691406,77.22607421875
2020-02-12,83.60353088378906,126.93985748291016,369.0817565917969,57.85976028442383,79.06001281738281
2020-02-13,82.4937515258789,126.09967803955078,367.4755554199219,58.97514343261719,78.49700927734375
2020-02-14,81.28471374511719,126.13329315185548,370.1384887695313,59.62812042236328,78.5163345336914
2020-02-18,79.9854736328125,125.30152893066406,368.194091796875,60.3817138671875,77.07864379882812
2020-02-19,81.75389862060547,125.13350677490234,367.2896728515625,58.80389404296875,78.19498443603516
2020-02-20,80.30125427246094,124.65459442138672,360.0956115722656,59.30914688110352,77.39278411865234
2020-02-21,79.41703796386719,125.96527862548828,361.6426086425781,59.42903518676758,75.6409912109375
2020-02-24,75.02302551269531,123.3694839477539,354.4994506835937,58.64761352539063,72.04801940917969
2020-02-25,73.55233001708984,122.3041534423828,338.4460754394531,57.87472915649414,69.60758972167969
2020-02-26,74.43655395507812,121.48401641845705,338.90252685546875,57.69062042236328,70.7118148803711
2020-02-27,71.59442138671875,117.6284637451172,325.1233215332031,55.06078720092773,66.08952331542969
2020-02-28,74.63505554199219,113.70524597167967,314.6347351074219,54.39579391479492,66.05084991455078
2020-03-02,76.9809341430664,118.38943481445312,324.4002990722656,57.75087356567383,72.20025634765625
2020-03-03,75.08619689941406,114.64376068115234,321.04022216796875,57.06222152709961,69.90721130371094
2020-03-04,78.59598541259766,121.31490325927734,341.99200439453125,60.735801696777344,73.14981842041016
2020-03-05,74.84257507324219,120.07198333740234,327.25,59.43164825439453,70.77705383300781
2020-03-06,73.50721740722656,120.08892059326172,325.3530578613281,58.49765396118164,69.83714294433594
2020-03-09,68.08463287353516,115.36249542236328,299.4588317871094,56.229373931884766,64.31356048583984
2020-03-10,70.92676544189453,119.75917053222656,312.3378295898437,55.03496170043945,68.94554138183594
2020-03-11,66.46056365966797,111.43924713134766,303.6270751953125,51.9208984375,66.551025390625
2020-03-12,60.28008270263672,106.03640747070312,264.87939453125,44.95464706420898,59.978797912597656
2020-03-13,66.37935638427734,113.54458618164062,279.519287109375,47.68132400512695,67.16475677490234
2020-03-16,57.97028732299805,107.49069213867188,244.9398498535156,43.33629608154297,58.52421951293945
2020-03-17,62.25602340698242,115.4892807006836,271.2167358398437,47.724369049072266,61.0975341796875
2020-03-18,56.418399810791016,114.11109161376952,283.6195068359375,45.33126449584961,59.601863861083984
2020-03-19,56.40035629272461,107.4230499267578,267.2782592773437,44.56943130493164,59.14518737792969
2020-03-20,57.03193283081055,101.36915588378906,247.7300720214844,41.26599884033203,55.39032745361328
2020-03-23,60.02743911743164,93.97086334228516,235.46343994140625,39.09455490112305,54.21360397338867
2020-03-24,65.73873901367188,100.76881408691406,245.76495361328125,44.44675827026367,59.65261459350586
2020-03-25,72.1628646850586,100.95484161376952,271.9313659667969,45.25164031982422,59.32399368286133
2020-03-26,72.64105224609375,107.01718139648438,298.0126953125,49.73440170288086,62.4457893371582
2020-03-27,67.18236541748047,104.13399505615234,296.3538818359375,49.91732406616211,59.86040496826172
2020-03-30,69.92525482177734,112.46231842041016,296.7537841796875,52.943138122558594,61.56869125366211
2020-03-31,67.13727569580078,110.87278747558594,288.3321838378906,51.783180236816406,61.44305419921875
2020-04-01,63.699649810791016,108.9111557006836,287.9663391113281,46.96469497680664,58.210105895996094
2020-04-02,64.04249572753906,112.58070373535156,301.10064697265625,48.73368835449219,59.18143081665039
2020-04-03,62.995880126953125,113.4431381225586,298.1572570800781,47.69853973388672,58.330902099609375
2020-04-06,67.01093292236328,118.16960144042967,313.0013427734375,50.46826934814453,63.419551849365234
2020-04-07,67.26358032226562,116.2418212890625,302.2234802246094,49.1727180480957,62.68500518798828
2020-04-08,67.53424835205078,121.12887573242188,307.43804931640625,50.25090026855469,64.2894058227539
2020-04-09,69.1944351196289,119.4124984741211,315.5958251953125,52.78604507446289,64.7533187866211
2020-04-13,68.48163604736328,118.17803955078124,314.6942443847656,50.8341178894043,66.02427673339844
2020-04-14,69.9974365234375,123.47095489501952,323.2773742675781,52.16193771362305,69.35871887207031
2020-04-15,66.9928970336914,124.84918212890624,318.47119140625,51.05147552490234,68.72566223144531
2020-04-16,67.44402313232422,126.54864501953124,321.448486328125,51.107421875,69.27174377441406
2020-04-17,71.79449462890625,128.53567504882812,341.5496520996094,52.9969482421875,68.33179473876953
2020-04-20,70.5326919555664,128.2397003173828,325.9824523925781,51.13539505004883,66.9134750366211
2020-04-21,69.52691650390625,126.55714416503906,317.6715393066406,50.66410827636719,64.84514617919922
2020-04-22,70.4229736328125,129.3557891845703,323.5920715332031,53.19278335571289,66.71292877197266
2020-04-23,68.17367553710938,131.48643493652344,320.47021484375,51.89508819580078,66.45437622070312
2020-04-24,68.630859375,130.93690490722656,324.757568359375,51.58518981933594,68.37289428710938
2020-04-27,69.6731948852539,130.45498657226562,322.035400390625,52.42450714111328,68.42121887207031
2020-04-28,70.54183959960938,128.00296020507812,327.2755432128906,51.49911117553711,67.31214141845703
2020-04-29,71.77621459960938,127.03060150146484,329.98052978515625,50.601688385009766,69.52303314208984
2020-04-30,70.38640594482422,126.86151885986328,330.9588317871094,49.738712310791016,70.98969268798828
