Date,Portfolio_Return
2020-01-03,0.0025792022139471808
2020-01-06,0.0019955289172130003
2020-01-07,-0.0011042205129877002
2020-01-08,0.00306684274329184
2020-01-09,0.010878663857995621
2020-01-10,-0.00104264398844494
2020-01-13,0.01295898241938728
2020-01-14,-0.00138850026385134
2020-01-15,0.006235103993156981
2020-01-16,0.0074908048899116
2020-01-17,0.0059141027531971705
2020-01-21,-0.004657536357019479
2020-01-22,-9.924517955435985e-05
2020-01-23,0.0006920674741164599
2020-01-24,0.00133414913608048
2020-01-27,-0.00859335859480214
2020-01-28,0.00874847709669002
2020-01-29,0.0056586708719758
2020-01-30,0.0017739973563687002
2020-01-31,-0.01946007444195806
2020-02-03,-0.0009117751880177402
2020-02-04,0.01701309913692036
2020-02-05,0.0099285799833394
2020-02-06,0.0059208449941333
2020-02-07,-0.00786879254480776
2020-02-10,0.00403365760504114
2020-02-11,-0.00111235134588614
2020-02-12,0.005789292067533922
2020-02-13,-0.0024177558708876404
2020-02-14,0.0008350567323074198
2020-02-18,-0.0067007611400504005
2020-02-19,0.0013328803781379192
2020-02-20,-0.0085698816492833
2020-02-21,-0.0033628636482432
2020-02-24,-0.031267337157122044
2020-02-25,-0.02411477535430282
2020-02-26,0.0038694129083123208
2020-02-27,-0.04430610246044208
2020-02-28,-0.0071610588621297405
2020-03-02,0.05168902338544493
2020-03-03,-0.022058702188323683
2020-03-04,0.05619175326904932
2020-03-05,-0.03100341109779454
2020-03-06,-0.0104986186253847
2020-03-09,-0.06211662308150351
2020-03-10,0.034728712953196114
2020-03-11,-0.05032882264384553
2020-03-12,-0.1004036599268908
2020-03-13,0.08154441852613617
2020-03-16,-0.10469660082775172
2020-03-17,0.08016942139172883
2020-03-18,-0.026919143361768323
2020-03-19,-0.028202911854576483
2020-03-20,-0.05117995255245432
2020-03-23,-0.028768266020256443
2020-03-24,0.08969308963148515
2020-03-25,0.04372748077825386
2020-03-26,0.06285474747053904
2020-03-27,-0.0290755399663267
2020-03-30,0.042261652597460585
2020-03-31,-0.02126678633495634
2020-04-01,-0.04316651130568832
2020-04-02,0.02780776373224776
2020-04-03,-0.010813967354372742
2020-04-06,0.060098000288724224
2020-04-07,-0.01684605942686686
2020-04-08,0.022168244573596944
2020-04-09,0.01892269791035854
2020-04-13,-0.00816926471575718
2020-04-14,0.0341640937665635
2020-04-15,-0.015408857717164841
2020-04-16,0.007747294920624141
2020-04-17,0.03322847394683918
2020-04-20,-0.02426760910699374
2020-04-21,-0.018600404847234984
2020-04-22,0.026470639730472242
2020-04-23,-0.010677562000886561
2020-04-24,0.007760637752643401
2020-04-27,0.00402043196964336
2020-04-28,-0.004783624298875439
2020-04-29,0.006717329287155579
2020-04-30,-0.0027375327370253812
2020-05-01,-0.014832054345008401
2020-05-04,-4.17925152425805e-05
2020-05-05,0.0069679556057309355
2020-05-06,-0.01345467764483854
2020-05-07,0.00811147006161606
2020-05-08,0.0171747393918752
2020-05-11,-0.00225153751611906
2020-05-12,-0.01070903278342396
2020-05-13,-0.010802854312855218
2020-05-14,-0.0009149353405171804
2020-05-15,0.0010126538902657403
2020-05-18,0.033712873837056526
2020-05-19,-0.008684865512031601
2020-05-20,0.00444535251586176
2020-05-21,-0.00347185400195978
